# comparison of averages for iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite baseline	iwrite set1	rewrite baseline	rewrite set1	iread baseline	iread set1	reread baseline	reread set1	randrd baseline	randrd set1	randwr baseline	randwr set1	bkwdrd baseline	bkwdrd set1	recrewr baseline	recrewr set1	striderd baseline	striderd set1	fwrite baseline	fwrite set1	frewrite baseline	frewrite set1	fread baseline	fread set1	freread baseline	freread set1
Filesize[kB] = 4 Block size [kB] = 4	163.86	187.53	235.93	324.19	442.01	490.36	696.18	671.0	63.1	51.65	236.89	306.75	51.79	42.78	266.36	355.56	60.98	52.21	225.78	287.86	271.75	396.06	53.83	42.8	56.51	54.65
Filesize[kB] = 8 Block size [kB] = 4	304.22	280.53	304.03	345.4	921.13	889.83	933.45	660.51	98.75	87.57	335.58	377.23	63.24	43.5	387.47	438.14	95.24	92.28	458.17	496.44	485.57	680.68	105.02	78.99	104.49	76.06
Filesize[kB] = 8 Block size [kB] = 8	338.99	333.67	383.92	480.23	859.04	779.64	812.37	737.53	87.92	68.2	331.64	366.87	99.52	75.26	422.86	512.28	99.81	61.48	412.5	459.65	407.93	525.25	100.7	96.94	101.51	76.09
Filesize[kB] = 16 Block size [kB] = 4	480.48	486.73	424.84	510.53	1179.72	940.18	1329.71	1046.87	142.31	131.61	474.59	459.94	75.25	62.18	645.39	777.83	151.23	145.51	466.02	616.48	637.65	680.93	169.46	124.12	164.22	112.83
Filesize[kB] = 16 Block size [kB] = 8	430.45	576.84	622.7	586.61	1176.5	1046.8	1116.51	980.79	146.8	136.99	517.83	623.52	107.67	60.79	588.92	816.95	141.33	154.0	661.06	737.42	706.56	654.2	145.82	129.58	162.65	168.96
Filesize[kB] = 16 Block size [kB] = 16	510.03	616.11	621.93	714.42	950.89	841.9	926.87	1007.63	167.88	156.61	436.05	565.71	163.48	127.19	548.33	698.37	145.73	142.6	629.91	719.49	604.87	757.07	173.37	157.07	145.41	135.12
Filesize[kB] = 32 Block size [kB] = 4	505.83	650.24	715.48	704.29	359.62	293.24	326.93	334.75	60.11	56.24	628.46	641.04	67.73	69.65	703.07	899.55	318.62	311.09	581.03	725.37	754.55	759.93	189.19	145.88	163.56	145.97
Filesize[kB] = 32 Block size [kB] = 8	707.88	778.65	739.06	782.04	326.72	267.0	344.28	328.13	136.46	123.95	725.53	705.88	114.01	101.6	966.03	995.5	270.37	285.93	723.56	846.79	726.4	907.96	179.8	163.8	186.22	169.26
Filesize[kB] = 32 Block size [kB] = 16	657.97	836.47	852.87	881.5	269.63	302.55	304.55	326.85	236.71	177.52	632.49	604.65	179.03	168.7	907.86	1129.68	270.07	275.87	932.63	982.61	937.65	1073.22	275.39	244.58	265.5	232.66
Filesize[kB] = 32 Block size [kB] = 32	638.97	888.77	811.28	968.89	329.58	267.57	339.21	321.89	218.81	207.19	681.77	733.57	231.57	231.33	871.93	701.76	221.16	268.52	718.91	956.94	902.79	1049.32	256.82	222.86	227.98	221.42
Filesize[kB] = 64 Block size [kB] = 4	654.21	726.42	679.15	858.41	411.43	370.36	365.34	388.36	65.43	68.29	696.29	643.62	70.38	66.97	993.11	727.83	511.04	513.92	653.79	785.23	623.13	500.43	284.51	212.64	282.08	244.74
Filesize[kB] = 64 Block size [kB] = 8	566.47	888.25	1074.34	888.72	424.4	352.15	462.21	432.59	98.23	94.94	990.68	774.62	114.89	95.59	1255.13	1140.69	581.1	542.48	707.52	820.85	890.29	972.84	304.5	273.22	235.58	208.13
Filesize[kB] = 64 Block size [kB] = 16	701.33	1031.67	908.65	1035.85	421.91	455.53	417.44	377.61	221.52	168.82	935.78	927.48	176.96	158.0	1126.97	930.89	439.62	439.01	891.51	1055.61	1007.02	953.51	263.99	232.06	236.11	216.34
Filesize[kB] = 64 Block size [kB] = 32	838.85	921.61	1073.21	889.06	408.25	365.81	431.2	431.73	385.1	338.76	917.02	771.81	252.97	218.53	1322.44	1293.77	389.01	282.4	1088.33	1225.11	1311.73	1174.46	388.76	355.72	339.61	284.74
Filesize[kB] = 64 Block size [kB] = 64	772.58	961.88	889.12	928.68	407.31	414.31	423.23	409.33	333.92	280.74	874.44	750.78	330.87	311.62	1173.27	1032.08	326.61	322.05	851.47	1158.37	1125.85	1087.16	297.4	310.99	307.03	328.77
Filesize[kB] = 128 Block size [kB] = 4	666.67	833.97	1002.07	622.47	388.31	391.82	437.49	424.26	71.94	74.79	787.17	538.43	75.33	72.93	1009.33	870.1	90.44	87.73	672.06	765.56	837.67	713.39	273.58	314.0	320.24	321.74
Filesize[kB] = 128 Block size [kB] = 8	669.59	950.44	1069.57	1033.41	460.37	403.23	438.29	352.62	111.25	104.77	942.2	902.65	107.86	109.88	1323.79	1398.13	948.86	796.55	868.26	889.48	860.17	713.09	282.61	274.51	319.09	336.98
Filesize[kB] = 128 Block size [kB] = 16	978.47	1136.28	970.9	660.96	398.94	436.37	417.67	450.19	177.52	170.95	955.61	779.64	188.63	175.6	1485.34	1350.01	741.6	611.39	943.87	1102.52	1050.15	820.47	322.01	350.38	385.15	368.24
Filesize[kB] = 128 Block size [kB] = 32	918.17	927.48	1226.27	1114.63	398.79	481.93	336.05	467.12	288.89	323.99	1064.68	771.99	279.72	269.03	1561.92	1562.43	595.6	485.96	950.74	939.38	992.41	907.46	401.52	351.81	335.7	370.51
Filesize[kB] = 128 Block size [kB] = 64	803.04	1222.96	971.42	922.95	450.17	424.75	366.9	402.5	454.43	514.02	964.91	741.82	378.58	331.21	1393.44	1287.1	507.94	422.8	958.66	1413.51	1031.24	1411.04	437.08	470.77	469.04	486.0
Filesize[kB] = 128 Block size [kB] = 128	985.58	1084.81	893.76	1044.13	370.0	373.67	340.87	400.43	436.3	469.39	902.84	604.66	458.13	434.03	1035.54	1102.96	466.93	464.0	1063.5	1256.91	1237.03	804.48	471.17	481.55	440.71	449.3
Filesize[kB] = 256 Block size [kB] = 4	848.34	903.11	1014.63	734.1	441.7	497.54	472.25	510.03	80.72	76.72	742.16	704.66	74.82	75.43	1293.33	892.8	83.65	81.68	663.02	772.47	835.67	808.49	376.52	417.42	384.66	391.15
Filesize[kB] = 256 Block size [kB] = 8	818.3	1063.28	957.2	1085.92	507.26	502.88	514.44	512.58	116.41	111.72	888.2	819.52	117.79	116.02	1538.7	1107.16	127.96	127.09	844.72	1069.46	996.92	814.39	391.59	459.25	406.45	430.87
Filesize[kB] = 256 Block size [kB] = 16	1011.11	1141.02	1066.99	1020.63	518.78	538.46	540.12	545.98	172.37	183.21	900.55	672.82	191.6	196.55	1751.31	1710.15	1106.78	939.17	775.43	924.69	1041.5	846.88	429.88	387.18	410.64	442.68
Filesize[kB] = 256 Block size [kB] = 32	911.43	1169.54	1055.07	1182.1	513.05	525.51	512.98	592.1	274.51	277.22	1074.34	1075.89	292.38	280.56	1930.12	1996.39	876.99	896.03	870.04	1100.13	1095.25	957.86	488.97	524.86	492.77	446.33
Filesize[kB] = 256 Block size [kB] = 64	1024.11	1179.85	1213.31	1126.17	477.86	492.03	420.11	473.21	433.99	419.44	1234.21	1055.42	372.78	407.14	1976.32	1323.21	773.22	938.55	1111.65	1184.62	1377.11	1192.09	502.63	479.22	477.47	507.1
Filesize[kB] = 256 Block size [kB] = 128	795.1	1179.31	1126.94	1212.04	430.17	492.85	439.77	458.34	423.39	516.5	1004.95	997.79	453.1	457.23	1409.73	1673.73	524.47	482.31	1141.24	1365.68	1493.23	1318.45	477.33	546.78	507.61	507.52
Filesize[kB] = 256 Block size [kB] = 256	1091.1	1043.6	1155.51	1390.79	405.62	381.73	399.71	478.7	404.99	429.12	910.38	917.42	488.29	461.59	1191.92	1444.67	411.39	415.42	883.72	1091.24	1147.28	1172.53	504.07	456.02	457.79	436.75
Filesize[kB] = 512 Block size [kB] = 4	750.14	818.56	923.47	861.19	500.03	516.6	481.13	562.2	80.26	80.61	846.47	790.16	78.63	78.98	1125.78	1361.77	81.28	81.58	725.2	778.36	892.74	831.17	399.73	482.67	442.67	486.58
Filesize[kB] = 512 Block size [kB] = 8	806.26	947.99	1063.13	1043.93	531.13	618.36	535.19	558.37	119.07	120.24	922.0	898.74	120.84	118.58	1665.48	1630.52	134.1	123.54	741.23	877.42	962.0	876.79	509.98	491.39	468.04	529.77
Filesize[kB] = 512 Block size [kB] = 16	952.25	846.21	1127.11	1148.21	565.23	619.58	546.33	625.8	198.11	196.68	1047.71	866.82	201.03	196.91	1572.31	1640.37	219.96	222.67	784.12	928.21	1098.29	1202.09	471.28	553.59	497.27	527.18
Filesize[kB] = 512 Block size [kB] = 32	985.98	1089.5	1278.81	1139.5	532.82	628.26	514.38	609.99	295.06	290.73	1237.08	1140.63	304.99	297.18	1457.54	2037.6	1455.37	1497.26	851.53	931.63	1172.32	964.2	528.07	582.18	527.68	545.16
Filesize[kB] = 512 Block size [kB] = 64	982.73	1059.33	1255.72	1163.8	492.11	551.59	521.45	535.98	425.1	433.47	1188.1	1115.92	411.34	405.92	1973.69	2063.51	1110.17	1436.96	995.09	1135.94	1108.31	1146.42	559.96	597.89	502.4	544.29
Filesize[kB] = 512 Block size [kB] = 128	902.15	1096.03	1172.24	1235.13	498.54	490.07	506.15	487.13	532.16	524.37	1087.57	948.91	487.29	493.57	1595.93	1620.02	842.64	956.02	1039.21	1040.32	1312.15	1396.24	536.37	561.29	540.65	554.87
Filesize[kB] = 512 Block size [kB] = 256	1118.38	1008.73	1301.59	1258.71	436.98	477.13	482.84	480.11	499.75	528.77	803.54	803.23	465.2	486.89	1560.85	2021.39	763.41	654.27	1081.21	1310.14	1304.18	1364.55	522.51	535.29	536.96	523.23
